match,velocity,north,east,lat,lon,current_velocity,current_latitude,current_longitude,delta_time,u1,u2
1,10.1042575836182,0.0,1.0,42.578960745898115,-87.904974164629479,75.3759307861328,42.648379773899762,-87.905346405210636,537,14881,14883
1,35.3311500549316,0.0,1.0,32.758793826928709,-117.20121430402912,72.9675979614258,32.80909353974004,-117.2162035071601,165,14881,14882
1,35.3311500549316,0.0,1.0,32.758793826928709,-117.20121430402912,65.2626037597656,32.863277999002804,-117.2049104243963,421,14881,14883
1,35.3311500549316,0.0,1.0,32.758793826928709,-117.20121430402912,65.2626037597656,32.863264238331162,-117.20489932759661,421,14881,14884
1,0.0,0.0,1.0,33.193004805804946,-117.37831197321779,71.2339706420898,33.171796727340634,-117.36227675972845,305,14881,14886
1,0.0,0.0,1.0,33.193004805804946,-117.37831197321779,84.1398468017578,33.124792676954677,-117.32706499255595,485,14881,14887
1,35.5672798156738,0.0,1.0,40.083988473120137,-79.710543973931891,55.0596809387207,40.115776054261694,-79.75809920136706,292,14881,14882
1,35.5672798156738,0.0,1.0,40.083988473120137,-79.710543973931891,50.2564811706543,40.164792921735916,-79.759031491379957,580,14881,14883
1,19.243860244751,0.0,1.0,31.864524929855897,-90.393934317573667,77.1556396484375,31.938800621801636,-90.384797576861928,137,14881,14882
1,19.243860244751,0.0,1.0,31.864524929855897,-90.393934317573667,73.5641098022461,32.024194160747321,-90.338241324271,438,14881,14883
1,1.00040698051453,0.0,1.0,38.900158086134176,-77.004610438981985,93.4772491455078,38.91829610336449,-76.976916086903643,175,14881,14882
1,1.00040698051453,0.0,1.0,38.900158086134176,-77.004610438981985,0.299749970436096,38.947884069686189,-76.872542267737344,534,14881,14883
1,47.2866744995117,0.0,1.0,41.954781494123061,-72.606255650382252,40.1508369445801,41.997822326247253,-72.604087735318174,179,14881,14882
1,47.2866744995117,0.0,1.0,41.954781494123061,-72.606255650382252,26.7672233581543,42.074837741764888,-72.585000165721382,539,14881,14883
1,0.111846797168255,0.0,1.0,37.229676529871689,-120.24681610173391,0.0,37.229657249409478,-120.24677476973262,329,14881,14882
1,101.199996948242,0.0,1.0,40.054398045902573,-74.984514049388935,124.199996948242,40.095097820135351,-74.895965102337215,182,14881,14882
1,101.199996948242,0.0,1.0,40.054398045902573,-74.984514049388935,109.900001525879,40.213125742045285,-74.760518527519,535,14881,14883
1,64.1192779541016,0.0,1.0,42.382667937642026,-86.077275846337173,60.9067802429199,42.45290061116166,-86.090879971373951,293,14881,14882
1,12.4619922637939,0.0,1.0,45.521951419210232,-122.66487043752871,3.34869909286499,45.528090895084446,-122.66804938079484,196,14881,14882
1,12.4619922637939,0.0,1.0,45.521951419210232,-122.66487043752871,0.22369359433651,45.528807038353641,-122.67576671369704,554,14881,14883
